Date,Ticker,Price,PriceChange1D,VolumeChange1D,PriceVsMA21_1D,VolumeVsMA21_1D,Max7DPriceChange,Max7DVolumeChange,Max7DPriceVsMA21,Max7DVolumeVsMA21
2026-04-28,INTC,84.52,-0.55,-20.02,1.347,1.131,23.6,81.39,1.403,2.376
2026-04-28,URI,962.72,0.3,-21.62,1.198,0.725,22.92,179.44,1.279,2.984
2026-04-28,TXN,265.0,-1.67,-16.06,1.181,1.105,19.43,123.84,1.323,3.759
2026-04-28,ARM,198.65,-7.98,-7.99,1.178,1.463,14.76,115.01,1.44,2.349
2026-04-28,CNC,49.57,13.95,80.51,1.302,2.992,13.95,80.51,1.302,2.992
2026-04-28,AMD,323.21,-3.41,-16.91,1.24,1.057,13.91,78.91,1.399,2.087
2026-04-28,GEV,1088.93,-2.79,9.21,1.102,1.676,13.75,98.22,1.205,1.793
2026-04-28,WST,292.13,-3.33,-8.6,1.081,1.102,12.86,170.69,1.18,3.008
2026-04-28,QCOM,150.0,-0.17,-45.75,1.124,1.783,11.12,189.72,1.135,3.464
2026-04-28,MAS,74.34,0.13,1.35,1.136,0.879,10.78,58.93,1.188,2.862
2026-04-28,MCHP,84.26,-2.97,29.74,1.122,1.402,9.89,103.83,1.262,2.031
2026-04-28,ON,93.3,-4.83,12.12,1.223,1.109,9.88,80.82,1.374,2.236
2026-04-28,SNPS,483.89,-2.94,-30.55,1.118,0.907,9.62,55.1,1.184,1.695
2026-04-28,MSTR,165.71,-2.06,3.02,1.142,0.716,9.39,43.97,1.297,1.612
2026-04-28,BSX,58.45,-2.5,-4.27,0.936,0.875,8.99,62.65,1.029,2.281
2026-04-28,UNP,267.74,-0.44,-27.4,1.062,0.66,8.77,120.49,1.094,2.755
2026-04-28,SMCI,27.25,-2.15,-24.05,1.058,0.704,8.71,88.92,1.198,1.373
2026-04-28,NEM,109.9,-5.32,36.31,0.963,1.172,8.68,40.15,1.068,1.469
2026-04-28,MU,504.29,-3.86,6.07,1.17,0.973,8.48,65.85,1.237,0.979
2026-04-28,SNDK,1002.35,-6.34,1.4,1.173,0.818,8.37,51.25,1.28,0.906
2026-04-28,NTRS,166.9,-0.54,-26.33,1.079,0.944,8.02,121.91,1.16,2.732
2026-04-28,NSC,316.71,-0.68,-43.37,1.058,0.462,7.75,57.73,1.092,0.997
2026-04-28,CMCSA,27.64,0.47,-26.1,0.97,0.816,7.73,84.27,1.106,2.309
2026-04-28,HPQ,19.73,-0.15,21.76,1.017,0.721,7.66,102.18,1.099,1.4
2026-04-28,KDP,28.79,2.27,-37.1,1.082,1.068,7.5,64.61,1.108,1.787
2026-04-28,ISRG,466.64,-0.92,-17.02,1.008,0.777,7.16,38.36,1.048,2.182
2026-04-28,CEG,305.71,-3.0,10.45,1.055,0.9,7.09,36.94,1.088,1.226
2026-04-28,PM,165.89,3.1,-30.59,1.032,0.661,6.98,50.5,1.053,1.665
2026-04-28,UNH,366.77,3.41,42.2,1.162,1.126,6.96,188.35,1.185,2.905
2026-04-28,CSX,45.23,-0.51,1.61,1.057,0.813,6.95,80.96,1.1,2.021
2026-04-28,NEE,96.51,1.77,-27.54,1.037,0.661,6.94,84.92,1.041,2.059
2026-04-28,BKR,67.67,-1.04,-40.36,1.085,0.973,6.9,50.11,1.114,1.846
2026-04-28,BEN,29.46,6.86,51.51,1.143,2.234,6.86,74.31,1.143,2.234
2026-04-28,NXPI,230.39,-2.74,2.23,1.084,1.309,6.83,78.41,1.169,1.568
2026-04-28,KLAC,1808.97,-4.79,15.24,1.061,1.495,6.59,35.75,1.161,1.495
2026-04-28,HAS,95.54,0.9,10.07,1.029,0.828,6.59,255.42,1.047,2.3
2026-04-28,NOW,90.49,0.04,-38.05,0.945,0.729,6.36,135.49,1.047,3.286
2026-04-28,TTD,23.23,0.39,-30.66,1.046,0.614,5.97,58.17,1.093,1.185
2026-04-28,ALB,186.9,-6.33,-16.22,1.003,0.892,5.95,20.63,1.088,1.071
2026-04-28,CDNS,325.31,-3.34,21.03,1.086,1.988,5.9,53.22,1.142,1.988
2026-04-28,ADI,383.26,-2.38,38.84,1.08,1.177,5.89,76.73,1.175,1.394
2026-04-28,TEAM,69.71,0.71,-15.97,1.043,0.629,5.81,23.62,1.116,1.1
2026-04-28,DHI,156.41,-1.83,-23.1,1.06,0.461,5.78,81.75,1.142,2.182
2026-04-28,EW,82.28,-1.41,-29.74,1.023,0.927,5.56,89.54,1.049,2.196
2026-04-28,DOV,224.14,-0.92,-19.13,1.037,0.73,5.54,176.66,1.066,2.304
2026-04-28,BA,230.72,-0.26,-16.15,1.054,0.569,5.53,108.55,1.096,2.419
2026-04-28,ELV,362.74,1.86,-50.91,1.136,0.704,5.51,53.45,1.136,1.852
2026-04-28,VRT,305.03,-5.4,48.57,1.049,1.441,5.44,55.93,1.142,1.768
2026-04-28,MSCI,594.78,0.64,-3.96,1.056,0.939,5.37,142.82,1.103,2.776
2026-04-28,AVB,183.5,5.29,6.31,1.078,1.483,5.29,110.17,1.078,1.483
2026-04-28,COIN,194.1,-1.31,-23.16,1.044,0.609,5.25,51.7,1.167,1.363
2026-04-28,MRVL,153.23,-3.15,-11.13,1.169,0.863,5.24,20.06,1.354,1.434
2026-04-28,STLD,226.96,0.85,26.06,1.141,0.94,5.19,26.06,1.206,2.073
2026-04-28,AVGO,399.83,-4.39,45.9,1.076,1.12,5.09,45.9,1.201,1.12
2026-04-28,UDR,36.21,4.83,16.16,1.047,1.044,4.83,16.16,1.047,1.044
2026-04-28,VST,161.12,-3.28,1.26,1.024,1.271,4.78,31.49,1.06,1.271
2026-04-28,PKG,222.59,4.73,58.91,1.059,1.486,4.77,100.96,1.059,2.324
2026-04-28,NUE,225.11,4.7,152.63,1.175,2.319,4.7,152.63,1.181,2.319
2026-04-28,NTAP,108.28,-0.15,-15.61,1.05,0.878,4.69,48.04,1.099,1.507
2026-04-28,CF,122.31,-1.07,-6.54,0.985,0.502,4.63,38.52,1.0,0.835
2026-04-28,MPWR,1504.08,-5.26,4.76,1.107,1.113,4.61,43.54,1.245,1.226
2026-04-28,PLTR,141.18,-1.34,-21.53,0.992,0.507,4.56,34.22,1.061,1.186
2026-04-28,EQR,65.15,4.54,41.88,1.064,1.47,4.54,41.88,1.064,1.47
2026-04-28,APA,38.65,0.57,22.8,0.99,0.736,4.53,22.8,0.99,0.736
2026-04-28,LUV,38.01,-0.5,-24.56,0.965,0.587,4.5,101.87,1.058,2.152
2026-04-28,DGX,195.05,-0.8,-7.68,0.992,0.634,4.45,23.51,1.047,2.518
2026-04-28,WDAY,121.18,2.84,-13.75,0.983,0.748,4.44,94.39,1.029,1.699
2026-04-28,LITE,791.37,-7.95,2.22,0.947,0.933,4.38,71.55,1.115,0.933
2026-04-28,NVDA,213.17,-1.59,-4.14,1.111,1.181,4.32,88.56,1.142,1.402
2026-04-28,DELL,205.93,-4.65,-24.07,1.086,0.638,4.3,26.86,1.177,1.073
2026-04-28,WELL,214.23,2.01,7.42,1.04,0.887,4.28,72.54,1.04,1.408
2026-04-28,CPT,105.93,4.26,37.8,1.045,1.23,4.26,37.8,1.052,1.23
2026-04-28,TER,380.13,-5.44,4.21,1.063,1.451,4.26,30.63,1.199,1.451
2026-04-28,RSG,208.15,0.99,60.0,0.975,1.085,4.26,60.0,0.998,1.239
2026-04-28,SWK,78.33,-1.92,-11.14,1.082,0.992,4.2,47.09,1.11,1.698
2026-04-28,IP,34.02,4.2,-14.69,0.962,1.181,4.2,88.54,1.027,1.525
2026-04-28,DOW,38.01,-0.24,-20.0,0.968,0.585,4.19,56.68,0.982,1.489
2026-04-28,LYB,71.48,0.65,-56.27,0.964,0.35,4.14,28.07,0.964,0.983
2026-04-28,FCX,58.21,-3.9,-2.97,0.906,0.883,4.13,172.8,1.133,2.358
2026-04-28,CVS,80.98,3.34,6.74,1.065,0.828,4.09,75.17,1.065,1.248
2026-04-28,HAL,40.81,1.69,-42.59,1.061,0.555,4.01,1.7,1.061,1.389
2026-04-28,MAA,130.38,3.98,27.24,1.046,0.901,3.98,27.24,1.054,0.901
2026-04-28,WM,227.35,0.51,10.53,0.993,1.038,3.96,42.33,1.019,1.339
2026-04-28,FSLR,195.86,-0.82,-18.05,1.004,0.835,3.96,32.75,1.014,1.132
2026-04-28,CVNA,406.42,-0.08,-20.42,1.128,0.53,3.96,19.78,1.223,0.828
2026-04-28,HUM,229.72,2.73,97.1,1.152,1.472,3.9,103.57,1.157,1.704
2026-04-28,KO,78.35,3.86,94.07,1.028,2.179,3.86,94.07,1.028,2.179
2026-04-28,TECH,53.51,-2.9,9.54,0.96,0.805,3.81,188.41,1.107,1.656
2026-04-28,CRWD,454.99,0.08,-20.03,1.087,0.534,3.8,27.24,1.149,0.981
2026-04-28,GLW,153.05,-8.9,64.6,0.954,1.814,3.77,86.32,1.113,1.814
2026-04-28,STX,579.03,-2.82,65.32,1.136,1.348,3.73,65.32,1.224,1.348
2026-04-28,SBAC,217.59,1.2,12.15,1.036,0.698,3.65,80.64,1.122,0.721
2026-04-28,ANET,165.29,-4.16,-4.04,1.092,0.921,3.6,45.89,1.244,1.296
2026-04-28,WDC,390.99,-2.43,11.84,1.123,0.915,3.6,14.3,1.216,0.946
2026-04-28,LRCX,251.23,-3.18,39.21,1.01,1.218,3.57,39.21,1.101,1.335
2026-04-28,ZS,136.07,1.46,4.69,1.016,0.741,3.57,46.85,1.059,1.011
2026-04-28,PANW,180.99,-1.04,-21.34,1.076,0.79,3.57,34.08,1.11,0.973
2026-04-28,ADBE,243.2,1.63,-10.69,1.005,0.852,3.54,35.24,1.061,1.835
2026-04-28,VTR,87.57,3.39,10.93,1.045,1.774,3.53,45.23,1.045,1.774
2026-04-28,SATS,123.7,1.7,-36.42,0.991,0.542,3.51,105.87,1.106,1.237
