Date,Ticker,InSP500,InNASDAQ100,Price,PriceChange1D,VolumeChange1D,PriceVsMA21_1D,VolumeVsMA21_1D,Max7DPriceChange,Max7DVolumeChange,Max7DPriceVsMA21,Max7DVolumeVsMA21
2026-04-30,NXPI,True,True,293.59,1.5,-55.05,1.323,1.371,25.55,126.38,1.331,3.06
2026-04-30,INTC,True,True,94.48,-0.28,-33.26,1.396,1.147,23.6,81.39,1.451,2.376
2026-04-30,URI,True,False,959.84,0.81,55.35,1.162,1.197,22.92,179.44,1.279,2.984
2026-04-30,TXN,True,True,281.08,4.41,39.01,1.209,1.389,19.43,123.84,1.323,3.759
2026-04-30,GNRC,True,False,259.23,2.49,-34.16,1.217,1.875,16.49,91.57,1.217,2.983
2026-04-30,PWR,True,False,727.77,15.78,81.58,1.208,2.483,15.78,81.58,1.208,2.483
2026-04-30,QCOM,True,True,179.58,15.12,58.49,1.308,3.674,15.12,189.72,1.308,3.674
2026-04-30,ARM,False,True,210.32,4.28,23.18,1.205,0.893,14.76,23.18,1.44,2.349
2026-04-30,CNC,True,False,53.69,-0.54,-39.47,1.338,1.651,13.95,80.92,1.38,2.997
2026-04-30,AMD,True,True,354.49,5.16,-6.29,1.291,1.048,13.91,78.91,1.399,2.087
2026-04-30,WST,True,False,297.59,0.76,-13.68,1.083,0.726,12.86,170.69,1.18,3.008
2026-04-30,TER,True,False,343.47,12.12,-40.13,0.951,2.175,12.12,184.38,1.199,3.861
2026-04-30,SWKS,True,False,70.17,11.99,130.6,1.188,2.59,11.99,130.6,1.188,2.59
2026-04-30,STX,True,True,673.64,4.72,-41.97,1.256,1.548,11.1,104.03,1.256,2.756
2026-04-30,CIEN,True,False,527.58,10.98,45.3,1.089,1.047,10.98,84.25,1.123,1.176
2026-04-30,IRM,True,False,125.99,10.02,172.56,1.118,3.189,10.02,172.56,1.118,3.189
2026-04-30,GOOG,True,True,381.94,9.97,99.93,1.162,2.543,9.97,99.93,1.162,2.543
2026-04-30,GOOGL,True,True,384.8,9.96,102.64,1.163,2.668,9.96,102.64,1.163,2.668
