Ticker,Price,RelVol,MaxRelVol_7D,Change1D,Change7D,Score,Signal
CHTR,173.48,1.61,5.32,-3.69,-26.68,1.42,Moderate
TSCO,35.65,0.88,3.56,-2.95,-20.78,0.739,Moderate
TXN,269.07,0.87,3.76,-2.91,17.08,0.642,Moderate
URI,955.28,0.5,2.98,-1.96,19.99,0.596,Moderate
LULU,146.48,0.79,4.61,1.86,-12.44,0.573,Moderate
TEL,208.61,0.76,3.54,-2.82,-15.25,0.54,Moderate
IBM,227.32,0.76,3.93,-2.01,-10.32,0.406,Weak
MAS,74.93,0.48,2.86,1.02,12.55,0.359,Weak
DPZ,334.69,3.43,3.43,-9.01,-10.04,0.344,Weak
TMO,467.75,0.57,3.01,-0.42,-11.18,0.337,Weak
HCA,442.13,0.92,3.41,2.24,-9.4,0.321,Weak
WST,301.51,0.68,3.01,-1.52,10.15,0.305,Weak
QCOM,150.0,2.93,2.93,0.77,10.13,0.297,Weak
UNH,352.79,0.51,2.9,-0.6,8.67,0.252,Weak
RVTY,86.58,0.42,2.77,-0.22,-7.85,0.218,Weak
UNP,268.83,0.52,2.75,0.05,7.04,0.194,Weak
NOW,91.24,0.9,3.29,1.18,-5.61,0.184,Weak
NFLX,91.57,0.43,2.93,-0.94,-5.9,0.173,Weak
LVS,54.44,1.02,2.83,3.1,-5.54,0.157,Weak
TEAM,69.78,0.5,3.24,-2.47,4.24,0.138,Weak
NTRS,167.21,0.67,2.73,1.95,5.05,0.138,Weak
MSCI,591.73,0.47,2.78,-0.16,4.08,0.113,Weak
MSTR,170.03,0.54,2.68,-0.58,2.11,0.057,Weak
CINF,165.87,0.53,3.28,0.85,-0.57,0.019,Weak
DGX,196.43,0.26,2.52,0.08,0.72,0.018,Weak
NI,48.34,0.7,2.63,0.73,0.06,0.002,Weak
